seed,shot,method,tgt_acc,tgt_f1_macro,tgt_bce,src_thr_pre,src_f1_pre,src_acc_after,src_f1_after,src_bce_after,forget_f1,avg_f1_after,trainable_params,t_pretrain,t_fisher,t_adapt,t_total_once
42,20,DAEWC,0.7618729096989967,0.7618600172535375,0.6747965216636658,0.915,0.9984585813677729,0.9997159897756319,0.9996915023485161,0.0023541408590972424,-0.001232920980743235,0.8807757598010268,85137,67.14706325531006,0.9006891250610352,4.276458740234375,72.32421112060547
42,20,ReplayUpper,0.9605351170568562,0.9605325742175981,0.17456628382205963,0.27,0.9993828973713286,0.9997159897756319,0.9996915023485161,0.0005931741907261312,-0.0003086049771875432,0.980112038283057,580898,0.0,0.0,61.07063150405884,61.07063150405884
42,80,Scratch-Plain,0.9444816053511705,0.9444812079056505,0.6227915287017822,,,,,,,,580898,0.0,0.0,4.6293487548828125,4.6293487548828125
42,80,Transfer-Plain,0.8916387959866221,0.8916375838926174,0.5656694769859314,0.27,0.9993828973713286,0.9980119284294234,0.9978382549497928,0.002459600567817688,0.0015446424215357357,0.9447379194212051,580769,93.11244773864746,0.0,3.260324716567993,96.37277245521545
42,80,Transfer-Plain+EWC,0.8889632107023412,0.8889488512289595,0.5654428601264954,0.27,0.9993828973713286,0.9980119284294234,0.9978382549497928,0.0027560237795114517,0.0015446424215357357,0.9433935530893762,580769,93.11244773864746,0.6871869564056396,1.8864023685455322,95.68603706359863
42,80,Adapter-Only,0.7264214046822742,0.7241385066471046,0.6810839772224426,0.915,0.9984585813677729,0.9985799488781596,0.9984585813677729,0.002093974035233259,0.0,0.8612985440074388,4497,67.14706325531006,0.0,2.0848045349121094,69.23186779022217
42,80,DAEWC,0.8073578595317725,0.8071831616659203,0.6601054072380066,0.915,0.9984585813677729,0.9988639591025277,0.9987666516044738,0.002375309355556965,-0.00030807023670087474,0.9029749066351971,85137,67.14706325531006,0.9006891250610352,4.371825456619263,72.41957783699036
42,80,ReplayUpper,0.9525083612040134,0.9524808067585638,0.1320052444934845,0.27,0.9993828973713286,0.9994319795512638,0.9993828973713286,0.00046077294973656535,0.0,0.9759318520649463,580898,0.0,0.0,62.619261503219604,62.619261503219604
42,160,Scratch-Plain,0.9752508361204013,0.9752433482862346,0.47375744581222534,,,,,,,,580898,0.0,0.0,6.2868146896362305,6.2868146896362305
42,160,Transfer-Plain,0.9431438127090301,0.9430989033525414,0.4304552674293518,0.27,0.9993828973713286,0.9982959386537915,0.998147399835418,0.0031117727048695087,0.001235497535910568,0.9706231515939797,580769,93.11244773864746,0.0,4.441087484359741,97.5535352230072
42,160,Transfer-Plain+EWC,0.9404682274247491,0.9404528812248568,0.431702196598053,0.27,0.9993828973713286,0.9980119284294234,0.9978382549497928,0.003216325305402279,0.0015446424215357357,0.9691455680873249,580769,93.11244773864746,0.6871869564056396,1.9138834476470947,95.7135181427002
42,160,Adapter-Only,0.7551839464882943,0.7541489637026333,0.678826630115509,0.915,0.9984585813677729,0.9985799488781596,0.9984585813677729,0.002093974035233259,0.0,0.8763037725352031,4497,67.14706325531006,0.0,2.1409597396850586,69.28802299499512
42,160,DAEWC,0.8327759197324415,0.8323539965910111,0.632454514503479,0.915,0.9984585813677729,0.9988639591025277,0.9987666516044738,0.002222856041043997,-0.00030807023670087474,0.9155603240977424,85137,67.14706325531006,0.9006891250610352,4.375577449798584,72.42332983016968
42,160,ReplayUpper,0.9779264214046822,0.9779175292340402,0.06760606169700623,0.27,0.9993828973713286,0.9997159897756319,0.9996915023485161,0.00020027122809551656,-0.0003086049771875432,0.9888045157912781,580898,0.0,0.0,65.90208387374878,65.90208387374878
