frac,method,acc_med,f1_med,bce_med,acc_pol_pre,bce_pol_pre,acc_pol_after,f1_pol_after,bce_pol_after,forget_acc,forget_bce,avg_acc_after,trainable_params,t_pretrain,t_fisher,t_finetune,t_total_once
0.1,Med-Scratch (TOK_ALL),0.9906790945406125,0.9908136482939632,0.24914392828941345,,,,,,,,,565429,0.0,0.0,6.851423025131226,6.851423025131226
0.1,Replay Upper (Joint Plain: POL_train + MED_sub),0.9900133155792277,0.9901639344262295,0.045375172048807144,,,0.9997166336072542,0.9997783196630459,0.0030795366037636995,,,,565429,0.0,0.0,64.97388744354248,64.97388744354248
0.2,Transfer-Plain (Full FT),0.9660452729693741,0.9671179883945842,0.10653644800186157,1.0,0.002101678866893053,0.9934825729668462,0.9949260975071696,0.05154675617814064,0.006517427033153833,0.04944507731124759,0.9797639229681101,565429,94.66416192054749,0.0,13.161164999008179,107.82532691955566
0.2,Transfer-Plain+EWC (Full FT),0.9673768308921438,0.968284789644013,0.10716158896684647,1.0,0.002101678866893053,0.9965996032870501,0.9973463069438302,0.02225727029144764,0.0034003967129498935,0.020155591424554586,0.9819882170895969,565429,94.66416192054749,0.6376433372497559,2.5819239616394043,97.88372921943665
0.2,Adapter-PEFT (freeze emb+conv),0.6504660452729694,0.7138964577656676,0.6464511156082153,1.0,0.00021961593301966786,0.8461320487390196,0.8925390856916683,0.22455242276191711,0.1538679512609804,0.22433280682889745,0.7482990470059945,34661,66.52936697006226,0.0,3.870250701904297,70.39961767196655
0.2,OURS-noEWC (unfreeze conv),0.8149134487350199,0.8077455048409405,0.46410003304481506,1.0,0.00021961593301966786,0.9761972230093511,0.9817152808010449,0.06058679148554802,0.02380277699064892,0.06036717555252835,0.8955553358721855,98789,66.52936697006226,0.0,4.066030740737915,70.59539771080017
0.2,OURS=Adapter+EWC (unfreeze conv + EWC),0.8422103861517976,0.8479794740218088,0.44147825241088867,1.0,0.00021961593301966786,0.9705298951544347,0.9774599046380581,0.07308032363653183,0.029470104845565337,0.07286070770351216,0.9063701406531162,98789,66.52936697006226,0.7149877548217773,4.264876842498779,71.50923156738281
0.2,Med-Scratch (TOK_ALL),0.9946737683089214,0.9947368421052631,0.09212475270032883,,,,,,,,,565429,0.0,0.0,10.670724391937256,10.670724391937256
0.2,Replay Upper (Joint Plain: POL_train + MED_sub),0.9946737683089214,0.994750656167979,0.022898182272911072,,,0.9994332672145083,0.9995567375886525,0.0028013235423713923,,,,565429,0.0,0.0,67.67355751991272,67.67355751991272
0.5,Transfer-Plain (Full FT),0.9946737683089214,0.994750656167979,0.038810405880212784,1.0,0.002101678866893053,0.9682629640124681,0.975768065772393,0.12071994692087173,0.03173703598753186,0.11861826805397868,0.9814683661606948,565429,94.66416192054749,0.0,15.571065664291382,110.23522758483887
0.5,Transfer-Plain+EWC (Full FT),0.9933422103861518,0.9934469200524246,0.03906380385160446,1.0,0.002101678866893053,0.9917823746103712,0.9936109275170742,0.028215540573000908,0.00821762538962878,0.026113861706107855,0.9925622924982616,565429,94.66416192054749,0.6376433372497559,3.3653557300567627,98.667160987854
0.5,Adapter-PEFT (freeze emb+conv),0.8914780292942743,0.8854532677442024,0.4311942756175995,1.0,0.00021961593301966786,0.6653442901671862,0.7924793533649622,0.3401029109954834,0.3346557098328138,0.33988329506246373,0.7784111597307303,34661,66.52936697006226,0.0,4.905262470245361,71.43462944030762
0.5,OURS-noEWC (unfreeze conv),0.9806924101198402,0.980653769179453,0.0687987431883812,1.0,0.00021961593301966786,0.8858033437234344,0.9179727254223489,0.26052922010421753,0.11419665627656561,0.26030960417119786,0.9332478769216372,98789,66.52936697006226,0.0,5.247349739074707,71.77671670913696
0.5,OURS=Adapter+EWC (unfreeze conv + EWC),0.978029294274301,0.9778672032193159,0.08056378364562988,1.0,0.00021961593301966786,0.9090393879285916,0.9335541295797971,0.19175563752651215,0.09096061207140838,0.19153602159349248,0.9435343411014463,98789,66.52936697006226,0.7149877548217773,5.5275092124938965,72.77186393737793
0.5,Med-Scratch (TOK_ALL),0.9973368841544608,0.9973614775725593,0.029532989487051964,,,,,,,,,565429,0.0,0.0,13.763261795043945,13.763261795043945
0.5,Replay Upper (Joint Plain: POL_train + MED_sub),0.9986684420772304,0.9986807387862797,0.012441596947610378,,,0.9997166336072542,0.9997783196630459,0.0018915619002655149,,,,565429,0.0,0.0,87.24282574653625,87.24282574653625
1.0,Transfer-Plain (Full FT),0.9986684420772304,0.9986824769433466,0.016321446746587753,1.0,0.002101678866893053,0.9277415698498158,0.9464847848898216,0.3429669737815857,0.07225843015018418,0.34086529491469264,0.9632050059635231,565429,94.66416192054749,0.0,19.8826584815979,114.54682040214539
1.0,Transfer-Plain+EWC (Full FT),0.9986684420772304,0.9986824769433466,0.023642094805836678,1.0,0.002101678866893053,0.9753471238311137,0.9810746138786165,0.10247711092233658,0.02465287616888634,0.10037543205544353,0.987007782954172,565429,94.66416192054749,0.6376433372497559,4.645307302474976,99.94711256027222
1.0,Adapter-PEFT (freeze emb+conv),0.9573901464713716,0.958005249343832,0.11241776496171951,1.0,0.00021961593301966786,0.6571266647775574,0.7884615384615384,4.213870048522949,0.34287333522244257,4.2136504325899296,0.8072584056244645,34661,66.52936697006226,0.0,6.740744113922119,73.27011108398438
1.0,OURS-noEWC (unfreeze conv),0.9913448735019973,0.9914417379855168,0.031472597271203995,1.0,0.00021961593301966786,0.7985264947577217,0.8638191917257231,1.029650092124939,0.20147350524227825,1.0294304761919193,0.8949356841298595,98789,66.52936697006226,0.0,7.356339931488037,73.8857069015503
1.0,OURS=Adapter+EWC (unfreeze conv + EWC),0.992676431424767,0.992729676140119,0.033935900777578354,1.0,0.00021961593301966786,0.8070274865400964,0.8688114043536891,0.8134362101554871,0.19297251345990363,0.8132165942224674,0.8998519589824316,98789,66.52936697006226,0.7149877548217773,7.651298522949219,74.89565324783325
1.0,Med-Scratch (TOK_ALL),0.9993342210386151,0.999340804218853,0.015485079027712345,,,,,,,,,565429,0.0,0.0,17.948013305664062,17.948013305664062
1.0,Replay Upper (Joint Plain: POL_train + MED_sub),0.9993342210386151,0.999340804218853,0.005513268522918224,,,0.9997166336072542,0.9997783196630459,0.0013514937600120902,,,,565429,0.0,0.0,100.91563177108765,100.91563177108765
