frac,method,acc_med,f1_med,bce_med,acc_pol_pre,bce_pol_pre,acc_pol_after,f1_pol_after,bce_pol_after,forget_acc,forget_bce,avg_acc_after,trainable_params,t_pretrain,t_fisher,t_finetune,t_total_once
0.1,Med-Scratch (TOK_ALL),0.9900133155792277,0.9901639344262295,0.24884040653705597,,,,,,,,,565429,0.0,0.0,4.574864864349365,4.574864864349365
0.1,Replay Upper (Joint Plain: POL_train + MED_sub),0.9747003994673769,0.9755154639175259,0.07041725516319275,,,0.9997166336072542,0.9997783196630459,0.003340090624988079,,,,565429,0.0,0.0,65.66787004470825,65.66787004470825
0.2,Transfer-Plain (Full FT),0.9687083888149135,0.9695003244646333,0.10218305140733719,1.0,0.002221943810582161,0.9929158401813545,0.9944873208379272,0.04653437063097954,0.007084159818645519,0.04431242682039738,0.980812114498134,565429,63.4820282459259,0.0,7.1276021003723145,70.60963034629822
0.2,Transfer-Plain+EWC (Full FT),0.9700399467376831,0.9706457925636008,0.10336194932460785,1.0,0.002221943810582161,0.9971663360725418,0.997787610619469,0.0213017500936985,0.0028336639274582076,0.01907980628311634,0.9836031414051125,565429,63.4820282459259,2.326535701751709,7.098773002624512,72.90733695030212
0.2,Adapter-PEFT (freeze emb+conv),0.5972037283621837,0.6924250127097101,0.6584659218788147,0.9994332672145083,0.0007204597350209951,0.8648342306602437,0.9043513134148786,0.2091025561094284,0.13459903655426464,0.2083820963744074,0.7310189795112136,34661,81.62985801696777,0.0,5.393813133239746,87.02367115020752
0.2,OURS-noEWC (unfreeze conv),0.8135818908122503,0.8066298342541437,0.48417478799819946,0.9994332672145083,0.0007204597350209951,0.9801643525077925,0.9847161572052402,0.06312941759824753,0.019268914706715767,0.06240895786322653,0.8968731216600214,98789,81.62985801696777,0.0,7.971901893615723,89.6017599105835
0.2,OURS=Adapter+EWC (unfreeze conv + EWC),0.8275632490013316,0.8197633959638134,0.4448017477989197,0.9994332672145083,0.0007204597350209951,0.9818645508642675,0.9860078705728028,0.052867550402879715,0.01756871635024082,0.05214709066785872,0.9047138999327995,98789,81.62985801696777,3.0433349609375,8.047636032104492,92.72082901000977
0.2,Med-Scratch (TOK_ALL),0.9953395472703063,0.9953977646285339,0.09233187884092331,,,,,,,,,565429,0.0,0.0,7.103673696517944,7.103673696517944
0.2,Replay Upper (Joint Plain: POL_train + MED_sub),0.9906790945406125,0.9908496732026144,0.030281847342848778,,,0.9994332672145083,0.9995567375886525,0.0030089914798736572,,,,565429,0.0,0.0,67.06773018836975,67.06773018836975
0.5,Transfer-Plain (Full FT),0.996005326231691,0.9960578186596584,0.03528312221169472,1.0,0.002221943810582161,0.9674128648342306,0.9751351351351352,0.1250995546579361,0.03258713516576939,0.12287761084735394,0.9817090955329608,565429,63.4820282459259,0.0,14.452331066131592,77.9343593120575
0.5,Transfer-Plain+EWC (Full FT),0.9953395472703063,0.9954038082731451,0.03868890926241875,1.0,0.002221943810582161,0.9917823746103712,0.9936109275170742,0.028311725705862045,0.00821762538962878,0.026089781895279884,0.9935609609403387,565429,63.4820282459259,2.326535701751709,14.346153974533081,80.1547179222107
0.5,Adapter-PEFT (freeze emb+conv),0.90745672436751,0.9044673539518899,0.4281851053237915,0.9994332672145083,0.0007204597350209951,0.6647775573816945,0.7922009485332865,0.3483215570449829,0.3346557098328138,0.3476010973099619,0.7861171408746023,34661,81.62985801696777,0.0,9.331859111785889,90.96171712875366
